,title,description,awards,genre,book_id,language_code,num_pages,author,number_of_ratings,rating,publisher,year,text_reviews_count,Movie
18,TheCelestineProphecy,"Are three decades of interest in modern physics, ecology, mystical religion and interpersonal psychology finally synthesizing into a new spiritual ""common sense""? Are we now beginning to live this new common sense? Can it become the dominant paradigm of the next century?When James Redfield first published this extraordinary book -- an adventure in pursuit of a spiritual mystery -- people picked it up, read it, and were stunned by its contents. They told their friends about it, and friends in turn told their friends. By word of mouth alone, news of this magical, moving work spread throughout the country, until -- within months of its first printing -- over hundred thousand readers had become excited by its predictions and touched by the way it made sense of what was happening in their lives.Now you can discover for yourself the insights, the vision, and the uncanny accuracy of ""The Celestine Prophecy"". A parable filled with vital truth that reads like a gripping adventure-tale, it begins with the disappearance of an ancient Peruvian manuscript. Although few Westerners know of its existence and a government wants to suppress it, this precious document contains an important secret: the 9 insights the human race is predicted to grasp as we enter an era of true spiritual awareness.To find the manuscript -- and its hidden treasures -- you will join one person's search. It is a quest that will carry you high into the Andes mountains, to ancient ruins deep in old-growth forest, and to a startling discovery. You will quickly recognize the truth of the First Insight: in each of our lives occur mysterious coincidences -- sudden, synchronistic events that, once interpreted, lead us into our true destiny.When you find and understand all 9 of the insights, you will have an exciting new image of human life, and a positive vision of how we will save this planet, its creatures, and its beauty. ""The Celestine Prophecy"" will give you hope…and chills…as you begin to perceive its predictions unfolding all around you in intimate relationships and international affairs. And you will suddenly recognize the quantum leap forward humankind is preparing to make as we approach the new millennium. Important works such as Carlos Castaneda's ""The Teachings of Don Juan"" and the prophecies of Nostradamus have helped prepare the way for the revelations you will find in James Redfield's life-changing words. The time is right to hear them, and to discover the personal journey that is opening in your life.",0,['Fiction'],13103,English,247pages,James Redfield,95292,3.65, Warner Books,1995,4046,yes
19,MuchAdoAboutNothing,,0,['Classics'],12957,English,246pages,William Shakespeare,214227,4.06, Simon  Schuster,2004,3746,yes
20,TheCay,"Phillip is excited when the Germans invade the small island of Curaçao. War has always been a game to him, and he’s eager to glimpse it firsthand–until the freighter he and his mother are traveling to the United States on is torpedoed.   When Phillip comes to, he is on a small raft in the middle of the sea. Besides Stew Cat, his only companion is an old West Indian, Timothy. Phillip remembers his mother’s warning about black people: “They are different, and they live differently.”    But by the time the castaways arrive on a small island, Phillip’s head injury has made him blind and dependent on Timothy.",4,['Fiction'],18553,English,156pages,Theodore Taylor,31985,3.77, Laurel Leaf,April8th2003,2512,yes
21,TheEnglishPatient,"With ravishing beauty and unsettling intelligence, Michael Ondaatje's Booker Prize-winning novel traces the intersection of four damaged lives in an Italian villa at the end of World War II. Hana, the exhausted nurse; the maimed thief, Caravaggio; the wary sapper, Kip: each is haunted by the riddle of the English patient, the nameless, burned man who lies in an upstairs room and whose memories of passion, betrayal, and rescue illuminate this book like flashes of heat lightning.",1,['Fiction'],11713,English,320pages,Michael Ondaatje,113036,3.88, McClelland & Stewart,April18th2006,4663,yes
22,Transformers:RevengeoftheFallen,"“THE FALLEN SHALL RISE AGAIN. . . .”This cryptic warning is ignored by the national security adviser who feels the ruthless Decepticon threat is no more. The allies are victorious, the enemy has been defeated, and the world is safe. Small attacks around the world have been contained, and the remaining pieces of the coveted Allspark are locked in an electromagnetic vault on one of the most secure Naval bases in the world. But nothing is at it seems, and there is a shift in the shadows. Things can change in an instant–and fragile peace will become all-out war.",0,['Science Fiction'],6047821,English,336pages,Alan Dean Foster,412,3.93, Del Rey,May19th2009,25,yes
23,TheBodyintheLibrary,"It’s seven in the morning. The Bantrys wake to find the body of a young woman in their library. She is wearing evening dress and heavy make-up, which is now smeared across her cheeks.But who is she? How did she get there? And what is the connection with another dead girl, whose charred remains are later discovered in an abandoned quarry?The respectable Bantrys invite Miss Marple to solve the mystery… before tongues start to wag.",0,['Mystery'],16319,English,191pages,Agatha Christie,66060,3.86, Black Dog & Leventhal Publishers,September1st2006,3501,yes
24,WeWereSoldiersOnce...andYoung:IaDrang-TheBattlethatChangedtheWarinVietnam,"Each year, the Commandant of the U.S. Marine Corps selects one book that he believes is both relevant and timeless for reading by all Marines. The Commandant's choice for 1993 was We Were Soldiers Once . . . and Young. In November 1965, some 450 men of the 1st Battalion, 7th Cavalry, under the command of Lt. Col. Hal Moore, were dropped by helicopter into a small clearing in the Ia Drang Valley. They were immediately surrounded by 2,000 North Vietnamese soldiers. Three days later, only two and a half miles away, a sister battalion was chopped to pieces. Together, these actions at the landing zones X-Ray and Albany constituted one of the most savage and significant battles of the Vietnam War. How these men persevered--sacrificed themselves for their comrades and never gave up--makes a vivid portrait of war at its most inspiring and devastating. General Moore and Joseph Galloway, the only journalist on the ground throughout the fighting, have interviewed hundreds of men who fought there, including the North Vietnamese commanders. This devastating account rises above the specific ordeal it chronicles to present a picture of men facing the ultimate challenge, dealing with it in ways they would have found unimaginable only a few hours earlier. It reveals to us, as rarely before, man's most heroic and horrendous endeavor.",0,['History'],42512,English,480pages,Harold G. Moore,25421,4.32, Presidio Press,November23rd2004,662,yes
25,CrazyRichAsians,"Crazy Rich Asians is the outrageously funny debut novel about three super-rich, pedigreed Chinese families and the gossip, backbiting, and scheming that occurs when the heir to one of the most massive fortunes in Asia brings home his ABC (American-born Chinese) girlfriend to the wedding of the season.When Rachel Chu agrees to spend the summer in Singapore with her boyfriend, Nicholas Young, she envisions a humble family home, long drives to explore the island, and quality time with the man she might one day marry. What she doesn't know is that Nick's family home happens to look like a palace, that she'll ride in more private planes than cars, and that with one of Asia's most eligible bachelors on her arm, Rachel might as well have a target on her back.Initiated into a world of dynastic splendor beyond imagination, Rachel meets Astrid, the It Girl of Singapore society; Eddie, whose family practically lives in the pages of the Hong Kong socialite magazines; and Eleanor, Nick's formidable mother, a woman who has very strong feelings about who her son should--and should not--marry. Uproarious, addictive, and filled with jaw-dropping opulence, Crazy Rich Asians is an insider's look at the Asian JetSet; a perfect depiction of the clash between old money and new money; between Overseas Chinese and Mainland Chinese; and a fabulous novel about what it means to be young, in love, and gloriously, crazily rich.",0,['Fiction'],16085481,English,403pages,Kevin Kwan,332311,3.85, Doubleday,June11th2013,29889,yes
26,EverythingIsIlluminated,"With only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely butchered English, Jonathan is led on a quixotic journey over a devastated landscape and into an unexpected past.",5,['Fiction'],256566,English,276pages,Jonathan Safran Foer,164012,3.9, Harper Perennial,April1st2003,7864,yes
27,"FruitsBasket,Vol.20",,0,['Sequential Art'],1586905,English,192pages,Natsuki Takaya,12112,4.47, Chuang Yi Comics,July1st2008,187,yes
28,TheAssassin'sBlade,"Contains all five novellas.Celaena Sardothien is Adarlan's most feared assassin. As part of the Assassin's Guild, her allegiance is to her master, Arobynn Hamel, yet Celaena listens to no one and trusts only her fellow killer-for-hire, Sam. In these action-packed novellas - together in one edition for the first time - Celaena embarks on five daring missions. They take her from remote islands to hostile deserts, where she fights to liberate slaves and seeks to avenge the tyrannous. But she is acting against Arobynn's orders and could suffer an unimaginable punishment for such treachery. Will Celaena ever be truly free? Explore the dark underworld of this kick-ass heroine to find out.",0,['Fantasy'],18243700,English,448pages,Sarah J. Maas,131937,4.4, Bloomsbury Childrens,March4th2014,Unavailable,yes
29,TheBourneUltimatum,"The world's two deadliest spies in the ultimate showdown.At a small-town carnival two men, each mysteriously summoned by telegram, witness a bizarre killing. The telegrams are signed Jason Bourne. Only they know Bourne's true identity and understand the telegram is really a message from Bourne's mortal enemy, Carlos, known also as the Jackal, the world's deadliest and most elusive terrorist. And furthermore, they know that the Jackal wants: a final confrontation with Bourne.Now David Webb, professor of Oriental studies, husband, and father, must do what he hoped he would never have to do again: assume the terrible identity of Jason Bourne. His plan is simple: to infiltrate the politically and economically Medusan group and use himself as bait to lure the cunning Jackal into a deadly trap, a trap from which only one of them will escape.",0,['Fiction'],31259,English,725pages,Robert Ludlum,59204,4.05, Orion,May6th2004,944,yes
30,PayItForward,"The story of how a boy who believed in the goodness of human nature set out to change the world.Pay It Forward is a wondrous and moving novel about Trevor McKinney, a twelve-year-old boy in a small California town who accepts the challenge that his teacher gives his class, a chance to earn extra credit by coming up with a plan to change the world for the better -- and to put that plan into action.The idea that Trevor comes up with is so simple and so naïve that when others learn of it they are dismissive. Even Trevor himself begins to doubt when his ""pay it forward"" plan seems to founder on a combination of bad luck and the worst of human nature.In the end, Pay It Forward is the story of seemingly ordinary people made extraordinary by the simple faith of a child. In the tradition of the successful and inspirational television show Touched by an Angel, and the phenomenally successful novel and film Forrest Gump, Pay It Forward is a work of charm, wit, and remarkable inspiration, a story of hope for today and for many tomorrows to come.",1,['Fiction'],215631,English,311pages,Catherine Ryan Hyde,23479,4.17, Pocket Books,October1st2000,1022,yes
31,TheMurderontheLinks,"Belgian detective Hercule Poirot is summoned to France after receiving a distressing letter with a urgent cry for help. Upon his arrival in Merlinville-sur-Mer, the investigator finds the man who penned the letter, the South American millionaire Monsieur Renauld, stabbed to death and his body flung into a freshly dug open grave on the golf course adjoining the property. Meanwhile the millionaire's wife is found bound and gagged in her room. Apparently, it seems that Renauld and his wife were victims of a failed break-in, resulting in Renauld's kidnapping and death.There's no lack of suspects: his wife, whose dagger served as the weapon; his embittered son, who would have killed for independence; and his mistress, who refused to be ignored - and each felt deserving of the dead man's fortune. The police think they've found the cumprit. But Poirot has his doubts. Why is the dead man wearing an overcoat that is too big for him? And who was the impassioned love-letter in the pocket for? Before Poirot can answer these questions, the case is turned upside down by the discovery of a second, identically murdered corpse...",0,['Mystery'],639787,English,228pages,Agatha Christie,48842,3.85, Berkley,February1st1984,3163,yes
32,Skellig,,6,['Fantasy'],1341147,English,176pages,David Almond,22226,3.8, Hodder Children's Book,1998,2430,yes
33,TheArtofRacingintheRain,"Enzo knows he is different from other dogs: a philosopher with a nearly human soul (and an obsession with opposable thumbs), he has educated himself by watching television extensively, and by listening very closely to the words of his master, Denny Swift, an up-and-coming race car driver.Through Denny, Enzo has gained tremendous insight into the human condition, and he sees that life, like racing, isn't simply about going fast. On the eve of his death, Enzo takes stock of his life, recalling all that he and his family have been through.A heart-wrenching but deeply funny and ultimately uplifting story of family, love, loyalty, and hope, The Art of Racing in the Rain is a beautifully crafted and captivating look at the wonders and absurdities of human life ... as only a dog could tell it.",0,['Fiction'],3153910,English,321pages,Garth Stein,451142,4.21, Harper Collins,May13th2008,38949,yes
34,Krull,"It descends from space...THE BLACK FORTRESS raining death and destruction upon the planet KRULLWho will rise to defend the people?Who will defy the red-eyed Beast who dwells within the Fortress?Colwyn, who is armed with the magical Glaive. Colwyn, abetted by a band of newly freed felons; a Cyclops with a sorrowful secret; the magician Ergo, small in size but great in heart; an aged Seer; and a brave young boy.Colwyn, whose betrothed is the captive of the Beast and fighting desperately to resist his loathsome embrace...",0,['Fantasy'],218660,Unavailable,237pages,Alan Dean Foster,548,3.3, Corgi ,1983,29,yes
35,Winnie-the-Pooh,,0,['Classics'],99107,English,145pages,A.A. Milne,269236,4.34, Dutton Juvenile,October1st2001,4786,yes
36,TheRumDiary,"Begun in 1959 by a twenty-two-year-old Hunter S. Thompson, The Rum Diary is a tangled love story of jealousy, treachery, and violent alcoholic lust in the Caribbean boomtown that was San Juan, Puerto Rico, in the late 1950s. The narrator, freelance journalist Paul Kemp, irresistibly drawn to a sexy, mysterious woman, is soon thrust into a world where corruption and get-rich-quick schemes rule and anything (including murder) is permissible.",0,['Fiction'],18864,English,224pages,Hunter S. Thompson,53266,3.82, Scribner / Simon & Schuster,Nov-99,2112,yes
37,TheAutobiographyofMalcolmX,"Alternate cover for ISBN 9780345350688Through a life of passion and struggle, Malcolm X became one of the most influential figures of the 20th Century. In this riveting account, he tells of his journey from a prison cell to Mecca, describing his transition from hoodlum to Muslim minister. Here, the man who called himself ""the angriest Black man in America"" relates how his conversion to true Islam helped him confront his rage and recognize the brotherhood of all mankind. An established classic of modern America, ""The Autobiography of Malcolm X"" was hailed by the New York Times as ""Extraordinary. A brilliant, painful, important book."" Still extraordinary, still important, this electrifying story has transformed Malcom X's life into his legacy. The strength of his words, the power of his ideas continue to resonate more than a generation after they first appeared.",0,['Nonfiction'],92057,English,466pages,Malcolm X,203816,4.32, Ballantine Books,2015,6083,yes
38,Alice'sAdventuresinWonderland&ThroughtheLooking-Glass,"""I can't explain myself, I'm afraid, sir,"" said Alice, ""Because I'm not myself, you see.""When Alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it, and a sequence of most unusual events is set in motion. This mini book contains the entire topsy-turvy stories of Alice's Adventures in Wonderland and Through the Looking-Glass, accompanied by practical notes and Martina Pelouso's memorable full-colour illustrations.",0,['Classics'],24213,English,239pages,Lewis Carroll,455949,4.06, Penguin Group (USA),December1st2000,10577,yes
39,TheLoveMachine,,0,['Fiction'],826542,English,511pages,Jacqueline Susann,2716,3.73, Grove Press,December14th1997,138,yes
