,average_rating,author_id,text_reviews_count,name,ratings_count
83,3.71,650106,2,Gregory S. Brown,14
84,2.50,15036621,3,ndr brhny mrnd,2
85,3.61,3258,293,Jeremy Black,2082
86,3.80,5533990,4,Claire Fay,15
87,3.53,1493903,13,Arun Maira,62
88,3.96,5395324,84,Melanie Cusick-Jones,172
89,3.92,526866,269,Neville Astley,3693
90,3.55,162140,4,Praveen Gupta,73
91,3.44,2742419,1,Dipak Jain,18
92,3.87,7314532,10328,Sally Green,57920
93,3.91,6217503,2289,Maya Cross,41075
94,4.02,16073,1079,Robert Walser,10359
95,4.20,3484503,12,Daniele Pantano,91
96,3.96,367928,39,James Reidel,184
97,3.77,1028358,3,Reto Sorg,43
98,3.97,123715,115724,Agatha Christie,2559239
99,3.68,552417,422,Emilia Fox,1712
100,4.20,11593,5545,Beatrix Potter,336443
101,5.00,15973929,1,Harry Deane Willmott,1
102,4.36,15079113,64,Joan Carney,88
103,4.04,1938,7881,Friedrich Nietzsche,250672
104,4.00,603349,200,drywsh ashwry,2403
105,3.77,13607545,2762,Sadegh Hedayat,51537
106,3.80,13658169,10,Randall S. Davis,15
107,3.50,1533165,231,W.J. Burley,1873
108,4.30,6938130,44,Shay Ray Stevens,125
109,2.86,1051586,67,Elaine Szewczyk,256
110,3.68,169662,279,Duncan Rouleau,4329
111,3.46,23519,832,Joe Casey,8611
112,3.95,18119,3099,Joe Kelly,39295
113,3.74,29688,835,Steven T. Seagle,7649
114,4.09,5193034,11505,Tracey Garvis-Graves,88486
115,3.66,5346805,126,Serena Lauzi,591
116,3.88,146147,109,M. Ageyev,1540
117,4.06,37450,12304,Ed Brubaker,233336
118,4.53,6601585,3,Spike Brown,15
119,3.46,618935,12,Gerald L. Gutek,178
120,3.87,14771610,3,mHmd Th,23
121,3.85,7083555,2528,John  Langan,24550
122,3.88,41194,1251,Judith Tarr,29656
123,4.05,16209952,8,Jason Delgado,19
124,3.87,853385,70,Chris  Martin,758
125,3.63,3111153,5182,Catherine McKenzie,41739
126,3.68,6462472,384,Amy Raby,3698
127,4.23,6480066,388,Lisa Clark O'Neill,3353
128,3.84,16272,12749,Michel Faber,174393
129,4.00,2313236,1,Leslie Gent,1
130,4.12,293603,8949,Heather Brewer,127881
131,3.61,9343,7464,Kate Mosse,83451
132,3.48,410348,98,Kathleen Bryan,752
133,3.87,207766,979,Thomas F. Monteleone,14096
134,4.24,7034616,25,Byron Goines,42
135,3.46,7205180,12,Mei Bei Er,82
136,3.44,5166301,11,ehmyepye``r,80
137,3.69,3482882,196,esiiywefinghling,1349
138,3.95,14425920,3361,Chance Carter,13035
139,3.98,5031025,10600,Anton Chekhov,190472
140,3.75,7066263,56,Wakoh Honna,1382
141,3.76,8444911,51,Honna Wakou (Ben Ming  wakou),1275
142,4.08,51308,50,Bill Guggenheim,737
143,4.08,51307,48,Judy Guggenheim,734
144,3.58,241450,894,Rebecca Mead,4176
145,3.95,20185,78,Mike   Evans,686
146,3.89,1540277,17,Katia Novet Saint-Lot,45
147,3.77,526216,40,Dimitrea Tokunbo,86
148,4.00,8354390,1,InLoveWithARockStar,1
149,4.27,4577517,18,Jonathan Ashley,41
150,3.70,7355144,221,J.S. Wilder,1290
151,3.89,81563,629,Jerry Siegel,5425
152,3.94,89537,396,Joe Shuster,3266
153,3.89,2953781,7637,Andrew  Grey,65157
154,4.83,14241994,6,Giuseppe Badaracco,24
155,3.89,4018722,21208,Beth Revis,195664
156,3.62,1015982,7,Yuu Asami,128
157,3.70,5806527,34,Andres Vidal,149
158,4.10,22458,1510,Machado de Assis,41668
159,3.78,422353,560,`bdllh khwthry,4236
160,3.72,1916427,974,Blake Charlton,9427
161,3.69,78057,15,Gunnar Kopperud,64
162,4.01,843200,14257,Oliver Sacks,255736
163,3.52,5819662,23,Jesper Ersgard,112
164,3.98,617249,381,Gregory L. Norris,1804
165,4.32,5474715,21,Elise Desaulniers,118
166,4.00,12577,34835,Douglas Preston,590043
167,4.00,11091,31945,Lincoln Child,571889
168,3.25,4738706,2,Micky Livingston,8
169,4.02,6564404,34,'bw  dhr lqlmwny,212
170,3.30,635213,35,Feridun Zaimoglu,398
171,3.81,335695,511,Jeff Mann,2197
172,3.75,7810887,1,Julian Davis,4
173,4.19,14965,11103,Garth Ennis,377440
174,3.58,3188368,32,Tomas Aira,231
175,3.81,131836,103,Keith Burns,1742
176,4.19,7507599,10,Matt Martin,57
177,3.54,24594,205,Mike Wolfer,2915
178,3.88,5757470,176,Steven Luna,858
179,3.92,4349351,131,Jeremy D. Brooks,545
180,3.85,13195,2578,Marion Dane Bauer,24137
181,4.29,30853,229,Stan Tekiela,2312
182,3.84,6868661,127,Adam Rakunas,451
183,3.72,14155472,1278,Simon Spurrier,12378
184,3.44,8224446,12,Fernando Heinz,108
185,3.45,1251983,46,Rafael Ortiz,423
186,3.73,5808419,28,DigiKore Studios,409
187,3.75,4346284,64,Jaymes Reed,332
188,3.96,1202800,99,Jacob Appel,820
189,3.69,4492199,182,Elena Cantoni,1139
190,3.76,2742909,120,'krm rD,955
191,3.92,8258,4375,Martin Cruz Smith,91438
192,4.38,4391289,213,Jeon Geuk-Jin,9517
193,3.51,6537142,369,Rebecca Podos,1493
194,4.34,4973079,34,Cali,126
195,3.46,3377500,3,Andrea Tezumo,13
196,4.01,51646,549,Joseph E. Persico,7327
197,4.07,2736959,195,Cia Leah,2978
198,3.12,16996479,7,N Gray,8
199,3.36,714123,4,Mary Elsie Robertson,22
200,4.00,7265977,242,Piers Platt,2849
201,4.15,6466154,12491,Kahlil Gibran,232111
202,4.06,2978217,16,jmyl jbr,126
203,3.00,5873266,1,Ralph Peduto,1
204,4.42,3037628,17,Gregory Gerard,53
205,3.97,4529674,1283,Rue Volley,5828
206,4.13,370361,64810,Patrick Ness,454626
207,3.56,2760047,41,Merri Vik,1369
208,3.46,4589095,9,A.-M. Helminen,255
209,3.93,11315,8618,Evelyn Waugh,158312
210,2.66,7151691,9,Justin Kairo,97
211,3.89,6761385,92,Vipin Behari Goyal,220
212,4.01,71251,36,Diane Davis White,308
213,4.28,182281,8,Vincent VI Warren,32
214,3.77,445601,75,Gail Feichtinger,412
215,3.78,209811,71,Gary Waller,398
216,3.78,445600,70,John DeSanto,390
217,3.75,4459027,4,Michel Bonnefoy,8
218,4.00,4383146,18,Dennis Milam Bensie,51
219,3.53,1521399,3,Aaron Council,32
220,3.35,7992537,3,Michael Petch,26
221,3.46,1241765,3,Edward Long,26
222,3.91,12020074,385,Kate Rudolph,2146
223,3.72,7323,314,Charles Reasoner,1516
224,3.84,3039530,98,Marina Le Ray,371
225,3.47,1102395,3174,Meg Waite Clayton,16912
226,3.43,2776840,48,Abdullah Harahap,161
227,4.06,8164,24057,Lewis Carroll,1022402
228,3.91,777644,36,Roberto Gervaso,546
229,4.04,36346,17170,Jennifer Donnelly,143792
230,4.10,5137697,203,Cathryn Hein,1141
231,3.97,13501628,62,A.J. Coonley,95
232,3.79,19697,8444,Robin Cook,257355
233,2.47,7872218,7,J.P. Cuenca,19
234,4.13,88746,51,Elizabeth Lowe,621
235,3.95,7792315,190,Leila Lacey,1044
236,3.90,172490,5213,Jim C. Hines,42461
237,3.80,2490272,285,Carol Monda,1203
238,3.92,48516,741,David Handler,6854
239,3.95,15441,3513,Bob Woodward,73037
240,3.20,7872217,3,bwb wwdwrd,5
241,3.88,12935,1045,Shannon Drake,17573
242,4.66,7362076,18,Claire  Smith,32
243,4.01,17854,4357,Bertrand Russell,91674
244,4.15,3112114,448,Alexey Pehov,11019
245,4.07,667143,219,Christiane Pohlmann,6461
246,3.62,3029755,60,Oren Harman,421
247,4.54,15203920,162,Blair Merrin,559
248,3.99,25108,2920,P.J. Tracy,30991
249,3.92,2339869,291,Buck Schirner,1789
250,3.79,7414637,46,Kazumasa Hirai,1450
251,4.17,18540,5892,T.S. Eliot,189956
252,4.20,248155,73,Errol Le Cain,570
253,3.53,5344544,5,Pablo Rumel,34
254,3.70,32119,105,Richard Wilson,1142
255,3.92,23113,2468,John Brunner,50219
256,3.30,6979307,13,D.M.J. Aurini,63
257,4.12,6553943,5,Venice Kennedy,16
258,4.17,3137322,42613,Fyodor Dostoyevsky,1052406
259,4.10,69892,8280,Constance Garnett,170554
260,3.44,5576046,11,Moussa Konate,72
261,3.15,4669632,6,Ondina Granato,13
262,3.48,7204031,33,Ji Qiu,181
263,3.48,5622158,33,cchiichiw,181
264,3.97,4037407,326,phrikh`m,2539
265,3.41,523138,259,Janet Ruth Young,1153
266,4.07,3420,1716,Elizabeth Enright,30738
267,4.26,1045743,116,Iain McGilchrist,999
268,3.77,26899,1510,Edward Marston,13366
269,3.68,13730,30300,R.L. Stine,670491
270,3.51,570512,28,Desmond Barry,202
271,3.84,854076,24362,Robert Louis Stevenson,834908
272,3.93,539783,18,Debra Coleman Jeter,81
273,4.03,11058226,293,Cassie-Ann L. Miller,1752
274,3.82,263567,3227,Marie Harte,38801
275,2.86,474995,1,Frank Cain,7
276,3.22,6179571,3,Jp Jones,9
277,3.95,3354,114375,Haruki Murakami,1588319
278,3.51,2943855,634,Kat Menschik,4599
279,3.80,3217205,493,Jacques Westerhoven,5006
280,3.14,15165816,16,Riley Forrest,59
281,3.16,4741032,8,P.L. Roberts,43
282,2.97,15265828,6,Rachel Menage,33
283,3.76,386083,70,Dover Publications Inc.,1980
284,3.50,5649650,1,Victor Raysman,2
285,4.25,38569,8638,Andrzej Sapkowski,229661
286,3.73,3255974,250,Douglas  Smith,1655
287,3.88,10848928,615,Kelley Harvey,3187
288,3.91,2784066,194,mHmwd `wD,1230
289,4.05,639570,145,Jean-Francois Revel,1564
290,3.97,3194718,26,Diarmid Cammell,172
291,3.86,18791,4662,Guy de Maupassant,90449
292,3.40,415236,3,Kirsty White,30
293,4.10,12855,5315,Neil deGrasse Tyson,56667
294,3.93,17045,302,Wendy Cheyette Lewison,1808
295,4.00,7059622,7598,Ilsa Madden-Mills,62243
296,3.89,7516813,903,Amber A. Bardan,3115
297,3.92,4750,5537,Emile Zola,102884
298,3.96,31107,420,Diana Preston,3239
299,3.75,127562,862,Kader Abdolah,10639
300,3.75,243000,21,Jerry MacGregor,106
301,4.13,24945,147,Keri Wyatt Kent,559
302,3.82,10885,11255,Edgar Rice Burroughs,220737
303,3.81,169992,1482,JoAnna Carl,18686
304,4.13,777491,18,Helen Henderson,62
305,3.47,5358028,3,nbyl lwq bbwy,19
306,3.00,8929891,1,R.T. Stroud,1
307,4.04,104544,704,Meir Shalev,6436
308,4.27,7151511,29,Oto Havrila,142
309,4.09,12504,34838,Karin Slaughter,519631
310,4.21,26957,3453,Gerald Durrell,57133
311,3.95,3238619,6426,Julia Kent,65089
312,3.78,2926031,885,Tanya Eby,3979
313,4.19,238787,191,Philip Van Doren Stern,1972
314,4.12,4697205,3,James Dunwoody Bulloch,8
315,4.10,70026,16774,Scott Snyder,249636
316,3.82,5752063,299,Scott Tuft,3616
317,4.01,3376756,1810,Attila Futaki,25476
318,4.18,8583486,21,Greg Guilhaumond,334
319,4.90,14308759,8,Nicole Rollender,21
320,3.69,2952441,652,Chris Quinton,2478
321,4.37,608923,12,Andrzej Bobkowski,155
322,4.21,669810,39561,Jeaniene Frost,737170
323,4.53,411899,543,Thomas S. Monson,3826
324,5.00,5815821,2,Todd Warren,3
325,5.00,5815822,2,Dale Cameron,3
326,4.16,6948888,134,Laura J. Marshall,728
327,3.72,214232,1566,David Anthony Durham,19736
328,3.85,441879,17,Montserrat Gurgui,149
329,3.96,13757,12557,Lisa Jackson,204851
330,3.82,25707,99,Francisco Umbral,1172
331,4.06,8328712,1027,Laura  Ward,5800
332,4.17,7218946,549,Christine Manzari,1747
333,3.96,15613826,302,Iris Morland,1178
334,4.17,44415,645,Tom Spanbauer,4615
335,3.54,26086,32,Juan Antonio Cebrian,532
336,3.39,5815823,7,MobiPoki,220
337,3.94,33200,444,Henri Troyat,6880
338,3.88,2785768,8,Rajiv Dogra,84
339,2.97,12599442,6,Ashlee Beaunoir,30
340,3.94,596418,175,Andy Cutbill,1259
341,3.90,165280,643,Russell Ayto,3849
342,3.87,5834730,362,Irene Preston,1070
343,4.00,5609664,432,Liv Rancourt,1214
344,3.67,4996195,2,Filippo Maria Caggiani,3
345,3.91,7912913,275,Maggie Pill,2174
346,3.33,5830804,3,Neil Laughton,18
347,3.81,331237,4,Joan Moore,31
348,3.65,1321218,380,Allie Boniface,2397
349,4.14,2008604,3,Daniel Parkins,14
350,3.76,612167,819,Sarah Kuhn,3263
351,3.77,240201,194,Penelope Rowlands,1474
352,3.87,13850345,49,Casey Lawrence,99
353,3.07,5937986,8,Frank Montgomery,71
354,4.18,11032481,76,Christina Bergling,240
355,3.53,945626,10,Mary Fox,70
356,3.34,2027516,22,Lars Maehle,250
357,4.01,17597,16298,Lori Foster,282599
358,3.60,241835,2,Charles Munch,5
359,5.00,15901580,1,Uner Birkan,1
360,3.88,7963547,76,Marian Snowe,531
361,4.75,15584446,42,Robbie Cheadle,57
362,4.75,15584447,37,Michael Cheadle,51
363,4.09,10366,15933,Clive Barker,437966
364,4.13,13763012,124,Annette Mori,424
365,2.37,573917,44,Cuca Canals,463
366,3.67,2931413,35,Alan Nebelthau,114
367,4.35,3975855,377,A.M. Myers,815
368,3.96,8431890,7,Liat Rotner,177
369,3.97,5831650,8,lyt rvtnr,167
370,4.39,3178510,14,Mary Jo Nickum,44
371,3.79,33981,580,Fiona Buckley,6213
372,4.26,4982062,19,Benina,405
373,4.04,10657,11723,Enid Blyton,527063
374,4.29,9791177,23,Geoff Le Pard,34
375,4.11,2614,20252,Lora Leigh,519377
376,3.64,72467,715,Marianne Fredriksson,9464
377,3.35,138150,71,Misha Defonseca,613
378,2.56,14214539,4,Heli Kalliolevo,9
379,3.62,1124726,39,E.C.R. Lorac,98
380,4.15,7984711,114,J. New,354
381,3.50,13301543,1,Nirbed Roy,4
382,3.50,16211999,1,Shubhraneel Ghosh,2
383,3.74,7987749,11,Ian Coates,70
384,4.10,274290,1460,Lauren St. John,14236
385,4.13,51211,26,Donald M. Nicol,189
386,4.50,14814041,2,Efe Kurtluoglu,4
387,4.25,11563,513,Joseph Brodsky,8029
388,3.37,14182642,7,Emre Aganoglu,100
389,3.67,1629655,8,Joyce Nicholson,21
390,4.10,7271075,25,Ken Adelman,174
391,3.95,20560,3126,Sheri S. Tepper,56437
392,3.83,6455200,1290,Lee Strauss,9426
393,3.85,5227552,1097,Elle Strauss,9143
394,4.02,61231,893,Scott Beatty,18313
395,3.80,4980321,122,Daniel Indro,766
396,3.63,5372204,540,Tamara Morgan,2087
397,4.40,294649,3190,Naoki Urasawa,93306
398,3.67,150591,4,Carol Allan,27
399,3.54,187837,135,Julie Johnston,804
400,3.00,1533577,1,Eustaquio Gomes,6
401,3.82,150589,7,Maryse Holder,28
402,4.06,7171651,4,Selma Yampolsky,16
403,3.91,7171652,5,Edith Jones,23
404,3.87,150588,175,Kate Millett,3695
405,3.16,6150407,5,Hanna van der Steen,25
406,4.24,150590,3,Don Paulson,17
407,4.03,117045,4,Roger Simpson,30
408,3.43,681236,518,Mira W.,7100
409,4.00,2988946,16,Sophia Blackwell,51
410,3.80,2982821,21,Amy Gash,187
411,4.19,3080,4799,Judith Viorst,171577
412,3.80,6548452,1,Debbie Cairo,5
413,0.0,17250134,1,Academy Imprints,0
414,3.00,2798287,2,Marcianne Blevis,14
415,3.25,6548455,1,Isil Aydin,8
416,4.37,179571,25,Ross Halfin,450
417,2.86,7085209,178,slsl@ nwdr jH ll'Tfl,633
418,3.97,4352250,18,Susan Kilbride,59
419,4.00,6469571,2274,Julia Sykes,19395
420,3.82,2905297,43579,Lauren Kate,907978
421,3.73,1144378,1870,Justine Eyre,7549
422,3.96,3112090,1102,Lydia Dare,13767
423,3.84,4999210,40,Kristin Flynn,152
424,3.79,6562436,86,Gloria Ng,640
425,4.25,6037253,4,Kristen Graser,8
426,4.25,6037254,4,Katie Damota,8
427,4.25,6037255,4,Susanna Murray Highsmith,8
428,4.33,7325890,4,Dea Mendoza,6
429,4.33,7325891,4,Peggy Nederlof,6
430,4.33,7325892,4,Jenn Sepulveda,6
431,4.33,7325893,4,Louise Wen,6
432,3.92,1289084,4,Eileen Kennedy,13
433,4.00,5467969,5,Portia Lee,13
434,4.25,7325894,4,Sasha YungJu Lee,8
435,4.25,7325895,4,Bingo Marasigan,8
436,4.25,7325896,4,Marlette Marasigan,8
437,4.60,7325897,7,Michelle McIntyre,20
438,4.29,3370705,5,Anna Melman,7
439,3.48,964805,14,Christian Ingrao,86
440,4.64,13700617,5,Sheila Baranoski,14
441,3.63,4093537,902,Ethan Stone,4011
442,4.30,868285,1,Adolfo Mattiello,10
443,3.93,788262,3,Judith Evans,15
444,4.12,7946358,1,Cy Cylkowski,8
445,3.99,11912,5176,Jude Watson,192378
446,4.07,2942853,134,aekwekaa,1305
447,3.72,181217,21,Barbara Frank,141
448,3.49,93069,225,Rich Tommaso,1545
449,3.80,21609,651,Max Brand,8940
450,3.82,5124208,355,Missouri Dalton,1743
451,3.92,1602351,9,Billy Cowie,40
452,3.78,4864634,5682,C.J. Redwine,47373
453,4.29,8291021,8,Helio Angotti Neto,14
454,3.83,21911,27662,Melissa de la Cruz,558518
455,3.66,1263751,1703,mHmd `mr@,9234
456,2.00,16096319,1,Fernando Krapp,1
457,2.71,5769518,3,Hope Adams,14
458,4.11,5618667,11,Beth Alvarez,19
459,3.46,5327972,162,A. Lopez Jr.,1362
460,3.82,17740,717,Ben Counter,16978
461,4.21,7315500,114,Rivi Jacks,616
462,3.64,99142,92,Kelly James-Enger,714
463,4.03,27847,43078,Lisa Kleypas,709314
464,3.98,616144,34,Nicole Conn,315
465,4.28,791996,900,Maki Minami,56914
466,4.13,14046158,4,Reet Tine,23
467,4.30,6952482,210,Brantwijn Serrah,444
468,3.98,327237,44,Joel Miller,184
469,3.59,188564,28,Rick Jarow,145
470,4.09,7581,54355,Kelley Armstrong,1056467
471,3.64,5669,1676,Leslie Kelly,20519
472,3.52,3399621,259,Angie Smibert,1202
473,4.04,7807,122,Paul Bishop,616
474,3.98,117366,6164,Keigo Higashino,45284
475,3.88,3088831,167,Dong Ye Gui Wu,2439
476,3.83,4371642,133,Wang Yun Jie,1369
477,4.08,281810,122314,Jojo Moyes,1301030
478,4.16,8363,800,Stuart McLean,8666
479,3.86,68284,23,Jim Bakker,176
480,4.02,27644,1248,Ken Abraham,11106
481,4.50,15050617,3,Jhankar Mahbub,22
482,3.72,4381377,37,C. Aubrey Hall,147
483,4.03,10991,5326,Stanislaw Lem,106639
484,3.86,487600,469,Bill Johnston,4233
485,3.57,4302324,416,Alessandro Juliani,2598
486,4.15,622116,35,Bob Walker,260
487,3.79,484376,762,Jose Eduardo Agualusa,6534
488,3.95,485820,79,Lee Lynch,617
489,3.75,2753523,1,C.W. Standiford,16
490,3.78,58102,71,Peter  Edwards,439
491,3.75,512651,1747,Seno Gumira Ajidarma,14563
492,3.47,3408036,149,Gregory Harris,664
493,3.86,3413928,1482,Sloan Parker,10119
494,4.00,3404508,2,Mohammed Kilani,4
495,3.89,773054,82,John H. McGlynn,426
496,2.71,3408315,2,Adila Suwarmo,7
497,3.87,513828,2630,Tawny Weber,17397
498,4.27,125272,129,Janice Ross,225
499,4.19,13696122,75,Luis P. Gatmaitan,1251
500,4.28,4878381,29,Beth Parrocha-Doctolero,658
501,3.65,620300,432,Mike Austin,2385
502,3.75,12940,10954,Elmore Leonard,162241
503,3.99,2383,190099,Gillian Flynn,2510390
504,3.88,8794,12261,Charles Stross,184596
505,3.97,6572837,2646,Rachel Bach,21565
506,3.86,5769580,3549,Abdul Rahman Munif,21419
507,3.72,1173254,14,Mick Ukleja,174
508,3.97,1228573,16,Margaret Blake,125
509,3.73,35931,254,Noah Adams,1687
510,3.49,6959452,551,National Public Radio,2886
511,3.95,5163699,16,Anna Skaidrite Gailite,170
512,3.86,1026791,2301,Carrie Brownstein,20346
513,3.77,333151,22,Nido R. Qubein,113
514,3.94,4500872,933,Ryan Loveless,5619
515,4.84,4383946,8,Glenn Lyvers,178
516,4.18,201334,39,Danny White,700
517,3.84,223845,4923,Molly O'Keefe,22013
518,4.28,21748,52034,Ilona Andrews,790575
519,3.74,5709381,1241,Becky Masterman,5688
520,4.22,26897,18763,Anne Bishop,294482
521,4.33,7012461,1,Isadora Katz,3
522,4.12,6470635,5596,Kit Rocha,42597
523,4.27,30946,21,Ravi Ravindra,215
524,4.26,16096144,147,404 Ink,550
525,3.95,5806077,1332,Laura Lam,5503
526,4.27,16379856,110,Ren Aldridge,492
527,4.27,16379857,110,Nadine Aisha Jassat,491
528,4.27,16379858,110,Sasha De Buyl-Pisco,492
529,4.27,16379859,110,Elise Hines,492
530,4.27,16379860,110,Alice Tarbuck,492
531,4.27,16379861,110,Jonatha Kottler,493
532,4.26,15060575,120,Chitra Ramaswamy,518
533,4.27,6887875,110,Christina Neuwirth,494
534,4.27,544753,111,Belle Owen,493
535,4.27,16379862,110,Zeba Talkhani,493
536,4.27,16379863,110,Katie Muriel,492
537,4.27,16379864,110,Joelle A. Owusu,492
538,3.95,4678519,227,Kaite Welsh,958
539,4.27,16379866,110,Claire L. Heuchan,492
540,4.27,16379867,110,Jen McGregor,492
541,4.27,16379868,110,Mel Reeve,490
542,4.27,16195401,110,Sim Bajwa,491
543,4.27,16379869,110,Becca Inglis,492
544,4.27,16379870,110,Rowan C. Clarke,492
545,4.27,16424737,110,Kristy Diaz,490
546,3.46,796,375,Sandra Lee,2925
547,3.79,63011,271,Lytton Strachey,3506
548,3.93,1394820,22,Hsn `bdllh,90
549,4.23,6869276,478,Takashi   Murakami,2263
550,3.80,7359735,1,Cun Shang Chong,5
551,3.93,6384773,2,Asma,15
552,3.90,2752928,16201,Tessa Dare,155835
553,3.60,71096,58,Paula Gosling,689
554,3.84,26090,985,William  Kennedy,18956
555,3.69,52813,493,Charlotte Elkins,5142
556,3.81,157986,1795,Aaron Elkins,22560
557,3.74,2565,12749,Ian Fleming,232196
558,4.08,8993,3729,O. Henry,120633
559,3.87,24781,4727,Dan Slott,61621
560,4.01,79136,659,Andrea DiVito,15536
561,3.81,169661,658,Kieron Dwyer,9573
562,3.94,104926,8095,Lorraine Heath,97397
563,4.19,7246093,5989,Nashoda Rose,58295
564,4.04,35007,718,William Horwood,11300
565,4.02,257093,1594,Antonia Michaelis,8723
566,4.07,4722094,3211,Jonathan Auxier,18645
567,3.90,5408549,3008,Johnny B. Truant,24049
568,4.10,155273,1213,Patrick Benson,18352
569,4.19,638156,1982,Liz Murray,14661
570,3.79,4635513,16,Frauke Brodd,72
571,3.79,14004,2296,William Sleator,23556
572,2.68,5553612,30,Ann Monticone,72
573,4.14,1023510,12956,R.A. Salvatore,677940
574,4.11,4940813,38,Bogac Erkan,602
575,3.94,2568433,1215,Lisa Greenwald,12802
576,3.98,3843,4846,Kenneth Grahame,151009
577,3.75,4483155,1,Larry Borstein,4
578,3.25,13932352,3,Jessica Bingman,12
579,3.72,5288663,226,Ephe Tsirone,1245
580,3.72,61173,1677,Kathy Hepinstall,9822
581,3.87,13561,1419,Mark Salzman,11679
582,4.36,311098,1116,Katsura Hoshino,79168
583,4.37,6474348,31899,Pierce Brown,290915
584,4.08,4132657,1453,Tim Gerard Reynolds,7796
585,4.10,4749058,85,Sergei Tarmashev,1422
586,3.91,3251728,4911,Victoria Scott,25730
587,3.79,61168,281,Piero Chiara,5396
588,3.81,468915,843,Serge Bloch,4172
589,3.88,35507,16,Eric Ethan,83
590,2.00,4006336,2,Cameras in Action Staff,2
591,4.14,2983829,2859,Anna Hackett,20183
592,3.82,222111,95,Marc Harshman,410
593,3.63,4112701,34,Barbara Garrison,129
594,4.31,910810,21,Jennifer St. Clair,112
595,3.86,5087605,166,Alexandra Marinina,4642
596,3.90,6991433,15,Jurgis Gimberis,231
